Source.Name,Constituency,Const No,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Seats,Status
andhrapradesh-9.csv,Vemuru (SC),89,ANANDA BABU NAKKA,Telugu Desam,ASHOK BABU VARIKUTI,Yuvajana Sramika Rythu Congress Party,22021,17/17,Result Declared
andhrapradesh-9.csv,Venkatagiri,122,KURUGONDLA RAMAKRISHNA,Telugu Desam,NEDURUMALLI RAM KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,16294,22/22,Result Declared
andhrapradesh-9.csv,Vijayawada Central,80,BONDA UMAMAHESWARARAO,Telugu Desam,VELAMPALLI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party,68886,21/21,Result Declared
andhrapradesh-9.csv,Vijayawada East,81,GADDE RAMA MOHAN,Telugu Desam,AVINASH DEVINENI,Yuvajana Sramika Rythu Congress Party,49640,23/23,Result Declared
andhrapradesh-9.csv,Vijayawada West,79,YALAMANCHILI SATYANARAYANA CHOWDARY (SUJANA CHOWDARY),Bharatiya Janata Party,ASIF SHAIK,Yuvajana Sramika Rythu Congress Party,47032,20/20,Result Declared
andhrapradesh-9.csv,Vinukonda,99,GONUGUNTLA VENKATA SIVA SITA RAMA ANZANNEYLLU,Telugu Desam,BOLLA BRAHMA NAIDU,Yuvajana Sramika Rythu Congress Party,30267,22/22,Result Declared
andhrapradesh-9.csv,Visakhapatnam East,21,RAMAKRISHNA BABU VELAGAPUDI,Telugu Desam,M V V SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,70877,22/22,Result Declared
andhrapradesh-9.csv,Visakhapatnam North,23,VISHNU KUMAR RAJU PENMETSA,Bharatiya Janata Party,KANNAPARAJU KAMMILA (K.K. RAJU),Yuvajana Sramika Rythu Congress Party,47534,21/21,Result Declared
andhrapradesh-9.csv,Visakhapatnam South,22,CH.VAMSI KRISHNA SRINIVAS,Janasena Party,GANESH KUMAR VASUPALLI,Yuvajana Sramika Rythu Congress Party,64594,17/17,Result Declared
andhrapradesh-9.csv,Visakhapatnam West,24,P.G.V.R.NAIDU(GANABABU),Telugu Desam,ADARI ANAND KUMAR,Yuvajana Sramika Rythu Congress Party,35184,16/16,Result Declared
andhrapradesh-9.csv,Vizianagaram,18,ADITI VIJAYALAKSHMI GAJAPATHI RAJU PUSAPATI,Telugu Desam,KOLAGATLA VEERABHADRA SWAMY,Yuvajana Sramika Rythu Congress Party,60609,20/20,Result Declared
andhrapradesh-9.csv,Yelamanchili,32,SUNDARAPU VIJAY KUMAR,Janasena Party,UPPALAPATI VENKATA RAMANAMURTHY RAJU,Yuvajana Sramika Rythu Congress Party,48956,19/19,Result Declared
andhrapradesh-9.csv,Yemmiganur,144,B. JAYANAGESWARA REDDY,Telugu Desam,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,15837,20/20,Result Declared
andhrapradesh-9.csv,Yerragondapalem (SC),102,CHANDRA SEKHAR TATIPARTHI,Yuvajana Sramika Rythu Congress Party,ERIXION BABU GUDURI,Telugu Desam,5200,19/19,Result Declared
